DATE,품목명,단위,등급명,평균가격,전일대비_가격차이,전일대비_가격변화율(%),공휴일여부,일요일여부
2020-05-08,토마토,5키로상자,상,6921,6921,0.0,0,0
2020-05-09,토마토,5키로상자,상,6261,6261,0.0,0,0
2020-05-10,,,,0,0,0.0,0,1
2020-05-11,토마토,5키로상자,상,6294,6294,0.0,0,0
2020-05-12,토마토,5키로상자,상,5269,-1025,-16.285351128058466,0,0
2020-05-13,토마토,5키로상자,상,6401,1132,21.484152590624404,0,0
2020-05-14,토마토,5키로상자,상,6391,-10,-0.1562255897516013,0,0
2020-05-15,토마토,5키로상자,상,6811,420,6.571741511500548,0,0
2020-05-16,토마토,5키로상자,상,6639,-172,-2.525326677433563,0,0
2020-05-17,토마토,5키로상자,상,0,0,0.0,0,1
2020-05-18,토마토,5키로상자,상,6984,6984,0.0,0,0
2020-05-19,토마토,5키로상자,상,7479,495,7.087628865979381,0,0
2020-05-20,토마토,5키로상자,상,8688,1209,16.165262735659848,0,0
2020-05-21,토마토,5키로상자,상,9794,1106,12.730202578268877,0,0
2020-05-22,토마토,5키로상자,상,10257,463,4.727384112722074,0,0
2020-05-23,토마토,5키로상자,상,10395,138,1.3454226381983034,0,0
2020-05-24,토마토,5키로상자,상,0,0,0.0,0,1
2020-05-25,토마토,5키로상자,상,10068,10068,0.0,0,0
2020-05-26,토마토,5키로상자,상,9324,-744,-7.389749702026221,0,0
2020-05-27,토마토,5키로상자,상,9172,-152,-1.6302016302016304,0,0
2020-05-28,토마토,5키로상자,상,9644,472,5.146096816397732,0,0
2020-05-29,토마토,5키로상자,상,9283,-361,-3.743260058067192,0,0
2020-05-30,토마토,5키로상자,상,9367,84,0.904879887967252,0,0
2020-05-31,토마토,5키로상자,상,0,0,0.0,0,1
2020-06-01,토마토,5키로상자,상,9040,9040,0.0,0,0
2020-06-02,토마토,5키로상자,상,8513,8513,0.0,0,0
2020-06-03,토마토,5키로상자,상,8447,8447,0.0,0,0
2020-06-04,토마토,5키로상자,상,8596,8596,0.0,0,0
2020-06-05,토마토,5키로상자,상,8657,8657,0.0,0,0
2020-06-06,토마토,5키로상자,상,7786,7786,0.0,0,0
2020-06-07,,,,0,0,0.0,0,1
2020-06-08,토마토,5키로상자,상,7698,7698,0.0,0,0
2020-06-09,토마토,5키로상자,상,6825,6825,0.0,0,0
2020-06-10,토마토,5키로상자,상,7524,7524,0.0,0,0
2020-06-11,토마토,5키로상자,상,6997,-527,-7.004253056884637,0,0
2020-06-12,토마토,5키로상자,상,6450,-547,-7.817636129769902,0,0
2020-06-13,토마토,5키로상자,상,5911,-539,-8.356589147286822,0,0
2020-06-14,토마토,5키로상자,상,0,0,0.0,0,1
2020-06-15,토마토,5키로상자,상,5889,5889,0.0,0,0
2020-06-16,토마토,5키로상자,상,5430,-459,-7.794192562404483,0,0
2020-06-17,토마토,5키로상자,상,5552,122,2.246777163904236,0,0
2020-06-18,토마토,5키로상자,상,5134,-418,-7.528818443804035,0,0
2020-06-19,토마토,5키로상자,상,5904,770,14.998052201012854,0,0
2020-06-20,토마토,5키로상자,상,6134,230,3.895663956639566,0,0
2020-06-21,토마토,5키로상자,상,0,0,0.0,0,1
2020-06-22,토마토,5키로상자,상,6655,6655,0.0,0,0
2020-06-23,토마토,5키로상자,상,8598,1943,29.196093163035314,0,0
2020-06-24,토마토,5키로상자,상,13155,4557,53.00069783670621,0,0
2020-06-25,토마토,5키로상자,상,21132,7977,60.63854047890536,0,0
2020-06-26,토마토,5키로상자,상,17819,-3313,-15.677645277304562,0,0
2020-06-27,토마토,5키로상자,상,14594,-3225,-18.098658735058084,0,0
2020-06-28,토마토,5키로상자,상,0,0,0.0,0,1
2020-06-29,토마토,5키로상자,상,9723,9723,0.0,0,0
2020-06-30,토마토,5키로상자,상,8807,-916,-9.420960608865576,0,0
2020-07-01,토마토,5키로상자,상,9066,259,2.9408425116384693,0,0
2020-07-02,토마토,5키로상자,상,8623,8623,0.0,0,0
2020-07-03,토마토,5키로상자,상,9717,9717,0.0,0,0
2020-07-04,토마토,5키로상자,상,10653,10653,0.0,0,0
2020-07-05,,,,0,0,0.0,0,1
2020-07-06,토마토,5키로상자,상,9703,9703,0.0,0,0
2020-07-07,토마토,5키로상자,상,10314,10314,0.0,0,0
2020-07-08,토마토,5키로상자,상,10699,10699,0.0,0,0
2020-07-09,토마토,5키로상자,상,11652,11652,0.0,0,0
2020-07-10,토마토,5키로상자,상,13319,13319,0.0,0,0
2020-07-11,토마토,5키로상자,상,13573,254,1.9070500788347475,0,0
2020-07-12,토마토,5키로상자,상,0,0,0.0,0,1
2020-07-13,토마토,5키로상자,상,11961,11961,0.0,0,0
2020-07-14,토마토,5키로상자,상,12633,672,5.618259342864309,0,0
2020-07-15,토마토,5키로상자,상,12769,136,1.0765455552916965,0,0
2020-07-16,토마토,5키로상자,상,12513,-256,-2.0048555094369176,0,0
2020-07-17,토마토,5키로상자,상,13812,1299,10.381203548309758,0,0
2020-07-18,토마토,5키로상자,상,15218,1406,10.179554011004925,0,0
2020-07-19,토마토,5키로상자,상,0,0,0.0,0,1
2020-07-20,토마토,5키로상자,상,15060,15060,0.0,0,0
2020-07-21,토마토,5키로상자,상,15729,669,4.442231075697211,0,0
2020-07-22,토마토,5키로상자,상,17810,2081,13.23033886451777,0,0
2020-07-23,토마토,5키로상자,상,21157,3347,18.79281302638967,0,0
2020-07-24,토마토,5키로상자,상,24849,3692,17.45048919979203,0,0
2020-07-25,토마토,5키로상자,상,22812,-2037,-8.197512978389472,0,0
2020-07-26,토마토,5키로상자,상,0,0,0.0,0,1
2020-07-27,토마토,5키로상자,상,21785,21785,0.0,0,0
2020-07-28,토마토,5키로상자,상,20097,-1688,-7.748450768877668,0,0
2020-07-29,토마토,5키로상자,상,18572,-1525,-7.588197243369657,0,0
2020-07-30,토마토,5키로상자,상,17745,-827,-4.452939909541245,0,0
2020-07-31,토마토,5키로상자,상,20898,3153,17.768385460693153,0,0
2020-08-01,토마토,5키로상자,상,0,0,0.0,0,0
2020-08-02,,,,0,0,0.0,0,1
2020-08-03,토마토,5키로상자,상,13492,13492,0.0,0,0
2020-08-04,토마토,5키로상자,상,11065,11065,0.0,0,0
2020-08-05,토마토,5키로상자,상,9726,9726,0.0,0,0
2020-08-06,토마토,5키로상자,상,9859,9859,0.0,0,0
2020-08-07,토마토,5키로상자,상,10809,10809,0.0,0,0
2020-08-08,토마토,5키로상자,상,9316,9316,0.0,0,0
2020-08-09,,,,0,0,0.0,0,1
2020-08-10,토마토,5키로상자,상,9087,9087,0.0,0,0
2020-08-11,토마토,5키로상자,상,9063,-24,-0.2641135688345989,0,0
2020-08-12,토마토,5키로상자,상,10109,1046,11.541432196844312,0,0
2020-08-13,토마토,5키로상자,상,10416,307,3.036897813829261,0,0
2020-08-14,토마토,5키로상자,상,10237,-179,-1.7185099846390168,0,0
2020-08-15,토마토,5키로상자,상,10597,360,3.5166552700986617,0,0
2020-08-16,토마토,5키로상자,상,0,0,0.0,0,1
2020-08-17,토마토,5키로상자,상,9431,9431,0.0,0,0
2020-08-18,토마토,5키로상자,상,8632,-799,-8.47206022691125,0,0
2020-08-19,토마토,5키로상자,상,7759,-873,-10.113531047265989,0,0
2020-08-20,토마토,5키로상자,상,7735,-24,-0.3093182111096791,0,0
2020-08-21,토마토,5키로상자,상,8952,1217,15.733678086619262,0,0
2020-08-22,토마토,5키로상자,상,9826,874,9.763181411974978,0,0
2020-08-23,토마토,5키로상자,상,0,0,0.0,0,1
2020-08-24,토마토,5키로상자,상,10500,10500,0.0,0,0
2020-08-25,토마토,5키로상자,상,10789,289,2.7523809523809524,0,0
2020-08-26,토마토,5키로상자,상,11865,1076,9.973120771155806,0,0
2020-08-27,토마토,5키로상자,상,15006,3141,26.47281921618205,0,0
2020-08-28,토마토,5키로상자,상,19235,4229,28.18206050912968,0,0
2020-08-29,토마토,5키로상자,상,29358,10123,52.62802183519626,0,0
2020-08-30,토마토,5키로상자,상,0,0,0.0,0,1
2020-08-31,토마토,5키로상자,상,22155,22155,0.0,0,0
2020-09-01,토마토,5키로상자,상,20830,-1325,-5.980591288648161,0,0
2020-09-02,토마토,5키로상자,상,17508,17508,0.0,0,0
2020-09-03,토마토,5키로상자,상,18767,18767,0.0,0,0
2020-09-04,토마토,5키로상자,상,22846,22846,0.0,0,0
2020-09-05,토마토,5키로상자,상,20257,20257,0.0,0,0
2020-09-06,,,,0,0,0.0,0,1
2020-09-07,토마토,5키로상자,상,19294,19294,0.0,0,0
2020-09-08,토마토,5키로상자,상,18184,18184,0.0,0,0
2020-09-09,토마토,5키로상자,상,20115,20115,0.0,0,0
2020-09-10,토마토,5키로상자,상,20910,20910,0.0,0,0
2020-09-11,토마토,5키로상자,상,23422,2512,12.013390722142516,0,0
2020-09-12,토마토,5키로상자,상,23099,-323,-1.379045341986167,0,0
2020-09-13,토마토,5키로상자,상,0,0,0.0,0,1
2020-09-14,토마토,5키로상자,상,27622,27622,0.0,0,0
2020-09-15,토마토,5키로상자,상,29313,1691,6.121931793497937,0,0
2020-09-16,토마토,5키로상자,상,41267,11954,40.78054105686897,0,0
2020-09-17,토마토,5키로상자,상,61059,19792,47.96084038093392,0,0
2020-09-18,토마토,5키로상자,상,61708,649,1.0629063692494145,0,0
2020-09-19,토마토,5키로상자,상,48948,-12760,-20.678032021779995,0,0
2020-09-20,토마토,5키로상자,상,0,0,0.0,0,1
2020-09-21,토마토,5키로상자,상,49311,49311,0.0,0,0
2020-09-22,토마토,5키로상자,상,41133,-8178,-16.584534890795158,0,0
2020-09-23,토마토,5키로상자,상,44351,3218,7.823402134539177,0,0
2020-09-24,토마토,5키로상자,상,39257,-5094,-11.485648576131316,0,0
2020-09-25,토마토,5키로상자,상,37573,-1684,-4.289680821254808,0,0
2020-09-26,토마토,5키로상자,상,38942,1369,3.6435738429191176,0,0
2020-09-27,토마토,5키로상자,상,0,0,0.0,0,1
2020-09-28,토마토,5키로상자,상,37621,37621,0.0,0,0
2020-09-29,토마토,5키로상자,상,32552,-5069,-13.473857685866935,0,0
2020-09-30,토마토,5키로상자,상,27150,-5402,-16.594986483165396,0,0
2020-10-01,토마토,5키로상자,상,0,0,0.0,0,0
2020-10-02,,,,0,0,0.0,0,0
2020-10-03,,,,0,0,0.0,0,0
2020-10-04,,,,0,0,0.0,0,1
2020-10-05,토마토,5키로상자,상,16999,16999,0.0,0,0
2020-10-06,토마토,5키로상자,상,20436,20436,0.0,0,0
2020-10-07,토마토,5키로상자,상,28090,28090,0.0,0,0
2020-10-08,토마토,5키로상자,상,28450,28450,0.0,0,0
2020-10-09,토마토,5키로상자,상,26163,26163,0.0,0,0
2020-10-10,토마토,5키로상자,상,25532,25532,0.0,0,0
2020-10-11,토마토,5키로상자,상,0,0,0.0,0,1
2020-10-12,토마토,5키로상자,상,31332,31332,0.0,0,0
2020-10-13,토마토,5키로상자,상,31038,-294,-0.938337801608579,0,0
2020-10-14,토마토,5키로상자,상,40031,8993,28.97416070623107,0,0
2020-10-15,토마토,5키로상자,상,37720,-2311,-5.773025904923684,0,0
2020-10-16,토마토,5키로상자,상,42259,4539,12.033404029692472,0,0
2020-10-17,토마토,5키로상자,상,29368,-12891,-30.504744551456493,0,0
2020-10-18,토마토,5키로상자,상,0,0,0.0,0,1
2020-10-19,토마토,5키로상자,상,29917,29917,0.0,0,0
2020-10-20,토마토,5키로상자,상,23245,-6672,-22.30170137380085,0,0
2020-10-21,토마토,5키로상자,상,25558,2313,9.9505269950527,0,0
2020-10-22,토마토,5키로상자,상,24080,-1478,-5.782925111511073,0,0
2020-10-23,토마토,5키로상자,상,26435,2355,9.779900332225914,0,0
2020-10-24,토마토,5키로상자,상,23592,-2843,-10.75468129373936,0,0
2020-10-25,토마토,5키로상자,상,0,0,0.0,0,1
2020-10-26,토마토,5키로상자,상,23491,23491,0.0,0,0
2020-10-27,토마토,5키로상자,상,21027,-2464,-10.489123494104124,0,0
2020-10-28,토마토,5키로상자,상,20736,-291,-1.3839349407904122,0,0
2020-10-29,토마토,5키로상자,상,18243,-2493,-12.022569444444445,0,0
2020-10-30,토마토,5키로상자,상,19723,1480,8.112700761936086,0,0
2020-10-31,토마토,5키로상자,상,19550,-173,-0.8771485068194494,0,0
2020-11-01,토마토,5키로상자,상,0,0,0.0,0,1
2020-11-02,토마토,5키로상자,상,18682,18682,0.0,0,0
2020-11-03,토마토,5키로상자,상,16337,16337,0.0,0,0
2020-11-04,토마토,5키로상자,상,17233,17233,0.0,0,0
2020-11-05,토마토,5키로상자,상,15896,15896,0.0,0,0
2020-11-06,토마토,5키로상자,상,15864,15864,0.0,0,0
2020-11-07,토마토,5키로상자,상,13022,13022,0.0,0,0
2020-11-08,,,,0,0,0.0,0,1
2020-11-09,토마토,5키로상자,상,13395,13395,0.0,0,0
2020-11-10,토마토,5키로상자,상,12451,12451,0.0,0,0
2020-11-11,토마토,5키로상자,상,11783,-668,-5.365030921211147,0,0
2020-11-12,토마토,5키로상자,상,11474,-309,-2.62242213358228,0,0
2020-11-13,토마토,5키로상자,상,13353,1879,16.376154784730694,0,0
2020-11-14,토마토,5키로상자,상,11308,-2045,-15.314910507002171,0,0
2020-11-15,토마토,5키로상자,상,0,0,0.0,0,1
2020-11-16,토마토,5키로상자,상,11348,11348,0.0,0,0
2020-11-17,토마토,5키로상자,상,11283,-65,-0.5727881565033486,0,0
2020-11-18,토마토,5키로상자,상,11505,222,1.9675618186652488,0,0
2020-11-19,토마토,5키로상자,상,11462,-43,-0.3737505432420687,0,0
2020-11-20,토마토,5키로상자,상,11021,-441,-3.847496073983598,0,0
2020-11-21,토마토,5키로상자,상,10186,-835,-7.576444968696125,0,0
2020-11-22,토마토,5키로상자,상,0,0,0.0,0,1
2020-11-23,토마토,5키로상자,상,10367,10367,0.0,0,0
2020-11-24,토마토,5키로상자,상,9737,-630,-6.076975016880486,0,0
2020-11-25,토마토,5키로상자,상,10626,889,9.130122214234364,0,0
2020-11-26,토마토,5키로상자,상,10644,18,0.1693958215697346,0,0
2020-11-27,토마토,5키로상자,상,9896,-748,-7.027433295753475,0,0
2020-11-28,토마토,5키로상자,상,9280,-616,-6.224737267582862,0,0
2020-11-29,토마토,5키로상자,상,0,0,0.0,0,1
2020-11-30,토마토,5키로상자,상,9724,9724,0.0,0,0
2020-12-01,토마토,5키로상자,상,9286,-438,-4.504319210201564,0,0
2020-12-02,토마토,5키로상자,상,9342,9342,0.0,0,0
2020-12-03,토마토,5키로상자,상,9014,9014,0.0,0,0
2020-12-04,토마토,5키로상자,상,9328,9328,0.0,0,0
2020-12-05,토마토,5키로상자,상,8863,8863,0.0,0,0
2020-12-06,,,,0,0,0.0,0,1
2020-12-07,토마토,5키로상자,상,9307,9307,0.0,0,0
2020-12-08,토마토,5키로상자,상,9273,9273,0.0,0,0
2020-12-09,토마토,5키로상자,상,9389,9389,0.0,0,0
2020-12-10,토마토,5키로상자,상,9557,9557,0.0,0,0
2020-12-11,토마토,5키로상자,상,9778,221,2.3124411426179763,0,0
2020-12-12,토마토,5키로상자,상,9078,-700,-7.158928206177133,0,0
2020-12-13,토마토,5키로상자,상,0,0,0.0,0,1
2020-12-14,토마토,5키로상자,상,9663,9663,0.0,0,0
2020-12-15,토마토,5키로상자,상,9200,-463,-4.791472627548381,0,0
2020-12-16,토마토,5키로상자,상,10655,1455,15.815217391304348,0,0
2020-12-17,토마토,5키로상자,상,10729,74,0.6945096198967621,0,0
2020-12-18,토마토,5키로상자,상,10308,-421,-3.9239444496225184,0,0
2020-12-19,토마토,5키로상자,상,10670,362,3.5118354675979817,0,0
2020-12-20,토마토,5키로상자,상,0,0,0.0,0,1
2020-12-21,토마토,5키로상자,상,11077,11077,0.0,0,0
2020-12-22,토마토,5키로상자,상,10823,-254,-2.2930396316692243,0,0
2020-12-23,토마토,5키로상자,상,10855,32,0.2956666358680587,0,0
2020-12-24,토마토,5키로상자,상,10616,-239,-2.20175034546292,0,0
2020-12-25,토마토,5키로상자,상,10823,207,1.9498869630746043,0,0
2020-12-26,토마토,5키로상자,상,10792,-31,-0.2864270534971819,0,0
2020-12-27,토마토,5키로상자,상,0,0,0.0,0,1
2020-12-28,토마토,5키로상자,상,10678,10678,0.0,0,0
2020-12-29,토마토,5키로상자,상,11084,406,3.802210151713804,0,0
2020-12-30,토마토,5키로상자,상,11475,391,3.52760736196319,0,0
2020-12-31,토마토,5키로상자,상,9689,-1786,-15.564270152505449,0,0
2021-01-01,토마토,5키로상자,상,0,0,0.0,0,0
2021-01-02,,,,0,0,0.0,0,0
2021-01-03,,,,0,0,0.0,0,1
2021-01-04,토마토,5키로상자,상,9674,9674,0.0,0,0
2021-01-05,토마토,5키로상자,상,9899,9899,0.0,0,0
2021-01-06,토마토,5키로상자,상,10785,10785,0.0,0,0
2021-01-07,토마토,5키로상자,상,10057,10057,0.0,0,0
2021-01-08,토마토,5키로상자,상,9292,9292,0.0,0,0
2021-01-09,토마토,5키로상자,상,8282,8282,0.0,0,0
2021-01-10,,,,0,0,0.0,0,1
2021-01-11,토마토,5키로상자,상,9266,9266,0.0,0,0
2021-01-12,토마토,5키로상자,상,9062,-204,-2.20159723721131,0,0
2021-01-13,토마토,5키로상자,상,10244,1182,13.043478260869565,0,0
2021-01-14,토마토,5키로상자,상,11263,1019,9.94728621632175,0,0
2021-01-15,토마토,5키로상자,상,11427,164,1.4560951789043772,0,0
2021-01-16,토마토,5키로상자,상,12552,1125,9.845103701758992,0,0
2021-01-17,토마토,5키로상자,상,0,0,0.0,0,1
2021-01-18,토마토,5키로상자,상,12457,12457,0.0,0,0
2021-01-19,토마토,5키로상자,상,12339,-118,-0.947258569479008,0,0
2021-01-20,토마토,5키로상자,상,13370,1031,8.355620390631332,0,0
2021-01-21,토마토,5키로상자,상,15051,1681,12.57292445774121,0,0
2021-01-22,토마토,5키로상자,상,15137,86,0.571390605275397,0,0
2021-01-23,토마토,5키로상자,상,14049,-1088,-7.187685802999273,0,0
2021-01-24,토마토,5키로상자,상,0,0,0.0,0,1
2021-01-25,토마토,5키로상자,상,14051,14051,0.0,0,0
2021-01-26,토마토,5키로상자,상,14507,456,3.2453206177496265,0,0
2021-01-27,토마토,5키로상자,상,14880,373,2.57117253739574,0,0
2021-01-28,토마토,5키로상자,상,15264,384,2.5806451612903225,0,0
2021-01-29,토마토,5키로상자,상,15999,735,4.815251572327044,0,0
2021-01-30,토마토,5키로상자,상,16608,609,3.8064879054940937,0,0
2021-01-31,토마토,5키로상자,상,0,0,0.0,0,1
2021-02-01,토마토,5키로상자,상,15981,15981,0.0,0,0
2021-02-02,토마토,5키로상자,상,15124,15124,0.0,0,0
2021-02-03,토마토,5키로상자,상,16393,16393,0.0,0,0
2021-02-04,토마토,5키로상자,상,16120,16120,0.0,0,0
2021-02-05,토마토,5키로상자,상,15016,15016,0.0,0,0
2021-02-06,토마토,5키로상자,상,13697,13697,0.0,0,0
2021-02-07,,,,0,0,0.0,0,1
2021-02-08,토마토,5키로상자,상,12666,12666,0.0,0,0
2021-02-09,토마토,5키로상자,상,11610,11610,0.0,0,0
2021-02-10,토마토,5키로상자,상,9443,9443,0.0,0,0
2021-02-11,토마토,5키로상자,상,7844,-1599,-16.933178015461188,0,0
2021-02-12,토마토,5키로상자,상,0,0,0.0,0,0
2021-02-13,토마토,5키로상자,상,0,0,0.0,0,0
2021-02-14,토마토,5키로상자,상,0,0,0.0,0,1
2021-02-15,토마토,5키로상자,상,9698,9698,0.0,0,0
2021-02-16,토마토,5키로상자,상,8440,-1258,-12.97174675190761,0,0
2021-02-17,토마토,5키로상자,상,9943,1503,17.808056872037913,0,0
2021-02-18,토마토,5키로상자,상,9940,-3,-0.0301719802876395,0,0
2021-02-19,토마토,5키로상자,상,12589,2649,26.649899396378267,0,0
2021-02-20,토마토,5키로상자,상,13021,432,3.4315672412423543,0,0
2021-02-21,토마토,5키로상자,상,0,0,0.0,0,1
2021-02-22,토마토,5키로상자,상,13926,13926,0.0,0,0
2021-02-23,토마토,5키로상자,상,12759,-1167,-8.380008616975442,0,0
2021-02-24,토마토,5키로상자,상,13485,726,5.690101105102281,0,0
2021-02-25,토마토,5키로상자,상,14574,1089,8.07563959955506,0,0
2021-02-26,토마토,5키로상자,상,14565,-9,-0.0617538081515026,0,0
2021-02-27,토마토,5키로상자,상,14077,-488,-3.3504977686234123,0,0
2021-02-28,토마토,5키로상자,상,0,0,0.0,0,1
2021-03-01,토마토,5키로상자,상,14738,14738,0.0,0,0
2021-03-02,토마토,5키로상자,상,14277,14277,0.0,0,0
2021-03-03,토마토,5키로상자,상,14962,14962,0.0,0,0
2021-03-04,토마토,5키로상자,상,15321,15321,0.0,0,0
2021-03-05,토마토,5키로상자,상,17104,17104,0.0,0,0
2021-03-06,토마토,5키로상자,상,16461,16461,0.0,0,0
2021-03-07,,,,0,0,0.0,0,1
2021-03-08,토마토,5키로상자,상,16564,16564,0.0,0,0
2021-03-09,토마토,5키로상자,상,16352,16352,0.0,0,0
2021-03-10,토마토,5키로상자,상,16690,16690,0.0,0,0
2021-03-11,토마토,5키로상자,상,16456,-234,-1.40203714799281,0,0
2021-03-12,토마토,5키로상자,상,17051,595,3.6157024793388426,0,0
2021-03-13,토마토,5키로상자,상,16772,-279,-1.6362676675854788,0,0
2021-03-14,토마토,5키로상자,상,0,0,0.0,0,1
2021-03-15,토마토,5키로상자,상,16750,16750,0.0,0,0
2021-03-16,토마토,5키로상자,상,16380,-370,-2.208955223880597,0,0
2021-03-17,토마토,5키로상자,상,16993,613,3.7423687423687424,0,0
2021-03-18,토마토,5키로상자,상,16318,-675,-3.9722238568822457,0,0
2021-03-19,토마토,5키로상자,상,15398,-920,-5.637945826694448,0,0
2021-03-20,토마토,5키로상자,상,12764,-2634,-17.106117677620468,0,0
2021-03-21,토마토,5키로상자,상,0,0,0.0,0,1
2021-03-22,토마토,5키로상자,상,12327,12327,0.0,0,0
2021-03-23,토마토,5키로상자,상,11740,-587,-4.761904761904762,0,0
2021-03-24,토마토,5키로상자,상,11541,-199,-1.6950596252129473,0,0
2021-03-25,토마토,5키로상자,상,11270,-271,-2.3481500736504635,0,0
2021-03-26,토마토,5키로상자,상,11215,-55,-0.4880212954747116,0,0
2021-03-27,토마토,5키로상자,상,10508,-707,-6.304057066428889,0,0
2021-03-28,토마토,5키로상자,상,0,0,0.0,0,1
2021-03-29,토마토,5키로상자,상,10685,10685,0.0,0,0
2021-03-30,토마토,5키로상자,상,10361,-324,-3.032288254562471,0,0
2021-03-31,토마토,5키로상자,상,10583,222,2.142650323327864,0,0
2021-04-01,토마토,5키로상자,상,10825,242,2.286686194840782,0,0
2021-04-02,토마토,5키로상자,상,11306,11306,0.0,0,0
2021-04-03,토마토,5키로상자,상,11935,11935,0.0,0,0
2021-04-04,,,,0,0,0.0,0,1
2021-04-05,토마토,5키로상자,상,11632,11632,0.0,0,0
2021-04-06,토마토,5키로상자,상,11874,11874,0.0,0,0
2021-04-07,토마토,5키로상자,상,13036,13036,0.0,0,0
2021-04-08,토마토,5키로상자,상,14060,14060,0.0,0,0
2021-04-09,토마토,5키로상자,상,14490,14490,0.0,0,0
2021-04-10,토마토,5키로상자,상,12785,12785,0.0,0,0
2021-04-11,토마토,5키로상자,상,0,0,0.0,0,1
2021-04-12,토마토,5키로상자,상,12968,12968,0.0,0,0
2021-04-13,토마토,5키로상자,상,12373,-595,-4.588217149907464,0,0
2021-04-14,토마토,5키로상자,상,13696,1323,10.692637193889922,0,0
2021-04-15,토마토,5키로상자,상,13314,-382,-2.7891355140186915,0,0
2021-04-16,토마토,5키로상자,상,14329,1015,7.623554153522607,0,0
2021-04-17,토마토,5키로상자,상,14353,24,0.1674924977318724,0,0
2021-04-18,토마토,5키로상자,상,0,0,0.0,0,1
2021-04-19,토마토,5키로상자,상,14342,14342,0.0,0,0
2021-04-20,토마토,5키로상자,상,13893,-449,-3.130665179193976,0,0
2021-04-21,토마토,5키로상자,상,14000,107,0.7701720290793925,0,0
2021-04-22,토마토,5키로상자,상,13510,-490,-3.5000000000000004,0,0
2021-04-23,토마토,5키로상자,상,13487,-23,-0.1702442635085122,0,0
2021-04-24,토마토,5키로상자,상,13236,-251,-1.8610513828130792,0,0
2021-04-25,토마토,5키로상자,상,0,0,0.0,0,1
2021-04-26,토마토,5키로상자,상,13698,13698,0.0,0,0
2021-04-27,토마토,5키로상자,상,12873,-825,-6.022777047744196,0,0
2021-04-28,토마토,5키로상자,상,13061,188,1.46042103627748,0,0
2021-04-29,토마토,5키로상자,상,12557,-504,-3.8588163234055584,0,0
2021-04-30,토마토,5키로상자,상,12334,-223,-1.7759018873934855,0,0
2021-05-01,토마토,5키로상자,상,11330,-1004,-8.14010053510621,0,0
2021-05-02,,,,0,0,0.0,0,1
2021-05-03,토마토,5키로상자,상,10964,10964,0.0,0,0
2021-05-04,토마토,5키로상자,상,10283,10283,0.0,0,0
2021-05-05,토마토,5키로상자,상,9584,9584,0.0,0,0
2021-05-06,토마토,5키로상자,상,9098,9098,0.0,0,0
2021-05-07,토마토,5키로상자,상,8605,8605,0.0,0,0
2021-05-08,토마토,5키로상자,상,8467,8467,0.0,0,0
2021-05-09,,,,0,0,0.0,0,1
2021-05-10,토마토,5키로상자,상,8853,8853,0.0,0,0
2021-05-11,토마토,5키로상자,상,8263,-590,-6.6644075454648135,0,0
2021-05-12,토마토,5키로상자,상,8847,584,7.067650974222437,0,0
2021-05-13,토마토,5키로상자,상,9099,252,2.848423194303153,0,0
2021-05-14,토마토,5키로상자,상,9343,244,2.681613364105946,0,0
2021-05-15,토마토,5키로상자,상,9560,217,2.322594455742267,0,0
